t,innovation,mse,firing_rate,r_norm,Ge_norm,kalman_innovation,kalman_mse
0.000000,2.976885e-03,5.072017e-04,2.812500e+02,4.242641e-03,6.683955e-02,2.976885e-03,3.022917e-03
0.001000,1.726454e-05,4.003982e-03,3.593750e+02,7.279121e-03,5.090144e-03,2.475984e-03,1.021829e-03
0.002000,1.102245e-04,3.734000e-03,5.156250e+02,1.048520e-02,1.286150e-02,1.198245e-03,9.503804e-04
0.003000,3.522670e-03,1.067252e-03,3.750000e+02,1.363229e-02,7.270905e-02,3.169436e-03,1.221255e-03
0.004000,1.940387e-05,7.115653e-04,7.812500e+01,1.416753e-02,5.396307e-03,2.736926e-03,1.561279e-03
0.005000,2.730972e-03,7.365837e-04,0.000000e+00,1.416328e-02,6.401934e-02,9.251451e-04,8.074620e-04
0.006000,2.372814e-03,6.061220e-04,0.000000e+00,1.415903e-02,5.967389e-02,4.701103e-04,1.605766e-03
0.007000,3.072095e-04,7.264858e-04,0.000000e+00,1.415478e-02,2.147187e-02,2.284252e-03,2.452793e-03
0.008000,4.012420e-05,6.081272e-04,0.000000e+00,1.415053e-02,7.759892e-03,3.092808e-04,5.622203e-03
0.009000,1.176656e-03,7.453274e-04,0.000000e+00,1.414629e-02,4.202205e-02,3.141431e-03,2.752339e-02
0.010000,3.599087e-04,9.192809e-04,0.000000e+00,1.414204e-02,2.324067e-02,1.285069e-05,2.424777e-02
0.011000,9.579712e-06,1.065321e-03,0.000000e+00,1.413780e-02,3.791654e-03,1.563321e-04,3.195031e-02
0.012000,1.686131e-03,1.088524e-03,0.000000e+00,1.413356e-02,5.030350e-02,3.052734e-03,8.993742e-02
0.013000,1.006399e-02,9.481375e-04,0.000000e+00,1.412932e-02,1.228960e-01,1.188579e-02,3.111180e-01
0.014000,1.523811e-03,9.145408e-04,0.000000e+00,1.412508e-02,4.782093e-02,1.661813e-03,2.093203e-01
0.015000,1.026055e-03,9.224108e-04,0.000000e+00,1.412084e-02,3.924079e-02,9.383290e-04,1.428650e-01
0.016000,3.024752e-04,1.002028e-03,0.000000e+00,1.411661e-02,2.130578e-02,4.431747e-04,1.878158e-01
0.017000,4.477467e-03,1.077747e-03,0.000000e+00,1.411237e-02,8.197260e-02,4.671396e-03,3.875277e-01
0.018000,1.931780e-03,1.023573e-03,0.000000e+00,1.410814e-02,5.384327e-02,1.522499e-03,5.404583e-01
0.019000,3.145451e-03,1.040057e-03,0.000000e+00,1.410391e-02,6.870589e-02,2.224175e-03,7.617115e-01
0.020000,2.216224e-03,9.044333e-04,0.000000e+00,1.409967e-02,5.767124e-02,3.694914e-03,4.819628e-01
0.021000,7.792453e-04,8.290064e-04,0.000000e+00,1.409544e-02,3.419713e-02,1.391425e-03,3.399628e-01
0.022000,3.061706e-03,7.867852e-04,0.000000e+00,1.409122e-02,6.778511e-02,3.872553e-03,1.559252e-01
0.023000,8.141462e-04,8.516517e-04,0.000000e+00,1.408699e-02,3.495455e-02,9.425393e-04,8.988947e-02
0.024000,4.720413e-04,8.021175e-04,0.000000e+00,1.408276e-02,2.661598e-02,4.745716e-04,1.349793e-01
0.025000,3.536341e-03,9.473101e-04,0.000000e+00,1.407854e-02,7.285000e-02,3.791097e-03,3.126992e-02
0.026000,4.900983e-04,9.849337e-04,0.000000e+00,1.407431e-02,2.712028e-02,3.745768e-04,1.376080e-02
0.027000,1.055788e-02,8.413454e-04,0.000000e+00,1.407009e-02,1.258754e-01,1.145045e-02,1.957823e-01
0.028000,3.765544e-03,9.448472e-04,0.000000e+00,1.406587e-02,7.517378e-02,4.403333e-03,5.892259e-02
0.029000,1.968746e-05,8.918756e-04,0.000000e+00,1.406165e-02,5.435598e-03,2.162546e-05,6.607769e-02
0.030000,3.792221e-04,9.970481e-04,0.000000e+00,1.405743e-02,2.385609e-02,3.961082e-04,3.894513e-02
0.031000,1.216755e-06,9.763554e-04,0.000000e+00,1.405322e-02,1.351307e-03,4.415130e-06,4.189708e-02
0.032000,1.763277e-03,1.062492e-03,0.000000e+00,1.404900e-02,5.144140e-02,1.815560e-03,1.047439e-01
0.033000,3.624629e-03,9.237631e-04,0.000000e+00,1.404478e-02,7.375379e-02,3.252051e-03,2.341185e-01
0.034000,9.628793e-03,8.681269e-04,0.000000e+00,1.404057e-02,1.202094e-01,8.071115e-03,5.301321e-01
0.035000,2.443244e-04,7.765883e-04,0.000000e+00,1.403636e-02,1.914855e-02,1.017444e-03,4.162276e-01
0.036000,8.359238e-03,6.752944e-04,0.000000e+00,1.403215e-02,1.120046e-01,5.940991e-03,7.175263e-01
0.037000,3.870011e-04,7.727745e-04,0.000000e+00,1.402794e-02,2.409953e-02,2.816864e-06,7.078995e-01
0.038000,6.853133e-03,8.703896e-04,0.000000e+00,1.402373e-02,1.014138e-01,1.099199e-02,3.355250e-01
0.039000,1.073651e-03,8.353465e-04,0.000000e+00,1.401952e-02,4.014061e-02,2.222208e-03,2.161750e-01
0.040000,1.158159e-03,9.206998e-04,0.000000e+00,1.401532e-02,4.169045e-02,5.236114e-04,2.677155e-01
0.041000,3.954236e-03,1.007493e-03,0.000000e+00,1.401111e-02,7.703424e-02,2.443673e-03,3.966045e-01
0.042000,6.764449e-04,1.020615e-03,0.000000e+00,1.400691e-02,3.186168e-02,6.577209e-05,4.197782e-01
0.043000,3.664322e-04,1.050834e-03,0.000000e+00,1.400271e-02,2.345035e-02,9.236597e-10,4.191027e-01
0.044000,3.353156e-04,1.035960e-03,0.000000e+00,1.399851e-02,2.243259e-02,1.454312e-03,3.202869e-01
0.045000,3.191949e-03,9.505736e-04,0.000000e+00,1.399431e-02,6.921186e-02,1.518956e-03,4.207534e-01
0.046000,4.505408e-03,1.028727e-03,0.000000e+00,1.399011e-02,8.222797e-02,7.780869e-03,2.192825e-01
0.047000,2.705940e-03,9.480036e-04,0.000000e+00,1.398591e-02,6.372525e-02,1.368117e-03,2.951380e-01
0.048000,1.912149e-03,9.645170e-04,0.000000e+00,1.398172e-02,5.356898e-02,3.846493e-03,1.790377e-01
